note,category
cước điện thoại,Hoá đơn (điện/nước/internet)
nạp tiền điện thoại,Hoá đơn (điện/nước/internet)
gói cước điện thoại,Hoá đơn (điện/nước/internet)
thanh toán wifi,Hoá đơn (điện/nước/internet)
thanh toán hoá đơn,Hoá đơn (điện/nước/internet)
rạp phim,Giải trí
xem phim,Giải trí
vé xem phim,Giải trí
cinema,Giải trí
netflix,Giải trí
spotify,Giải trí
youtube premium,Giải trí
mua game,Giải trí
nạp game,Giải trí
game,Giải trí
chơi game,Giải trí
steam,Giải trí
vé ca nhạc,Giải trí
đi xem ca nhạc,Giải trí
concert,Giải trí
karaoke,Giải trí
đi karaoke,Giải trí
vé công viên,Giải trí
đi chơi,Giải trí
xem concert,Giải trí
mua thuốc,Sức khoẻ
khám bệnh,Sức khoẻ
đi khám bác sĩ,Sức khoẻ
viện phí,Sức khoẻ
mua thuốc cảm,Sức khoẻ
khám răng,Sức khoẻ
nha khoa,Sức khoẻ
mua vitamin,Sức khoẻ
bảo hiểm y tế,Sức khoẻ
khám sức khoẻ định kỳ,Sức khoẻ
mua thuốc ho,Sức khoẻ
xét nghiệm máu,Sức khoẻ
tiêm vắc xin,Sức khoẻ
mua kính thuốc,Sức khoẻ
vật lý trị liệu,Sức khoẻ
mua thuốc bổ,Sức khoẻ
khám phụ khoa,Sức khoẻ
khám tổng quát,Sức khoẻ
mua băng gạc,Sức khoẻ
chi phí nằm viện,Sức khoẻ
học phí,Giáo dục
đóng học phí,Giáo dục
học phí học kỳ,Giáo dục
mua sách giáo trình,Giáo dục
mua sách,Giáo dục
mua vở,Giáo dục
mua bút,Giáo dục
mua tài liệu học tập,Giáo dục
photo tài liệu,Giáo dục
in tài liệu,Giáo dục
đăng ký khoá học online,Giáo dục
học phí tiếng anh,Giáo dục
học phí ielts,Giáo dục
lệ phí thi,Giáo dục
lệ phí thi lại,Giáo dục
đóng tiền học thêm,Giáo dục
học phí gia sư,Giáo dục
mua giáo trình,Giáo dục
đăng ký thi chứng chỉ,Giáo dục
lệ phí ôn thi,Giáo dục
tiền nhà,Nhà ở/Thuê nhà
tiền thuê nhà,Nhà ở/Thuê nhà
tiền phòng trọ,Nhà ở/Thuê nhà
thuê phòng trọ,Nhà ở/Thuê nhà
đóng tiền nhà,Nhà ở/Thuê nhà
tiền cọc nhà,Nhà ở/Thuê nhà
đặt cọc thuê nhà,Nhà ở/Thuê nhà
gia hạn hợp đồng thuê nhà,Nhà ở/Thuê nhà
phí quản lý chung cư,Nhà ở/Thuê nhà
phí dịch vụ chung cư,Nhà ở/Thuê nhà
tiền thuê căn hộ,Nhà ở/Thuê nhà
chuyển nhà,Nhà ở/Thuê nhà
phí sửa chữa nhà,Nhà ở/Thuê nhà
sơn sửa nhà,Nhà ở/Thuê nhà
tiền thuê ký túc xá,Nhà ở/Thuê nhà
phí ký túc xá,Nhà ở/Thuê nhà
tiền thuê trọ tháng,Nhà ở/Thuê nhà
cọc phòng trọ,Nhà ở/Thuê nhà
hợp đồng thuê nhà,Nhà ở/Thuê nhà
phí môi giới nhà đất,Nhà ở/Thuê nhà
mua quần áo,Mua sắm
mua giày,Mua sắm
mua túi xách,Mua sắm
mua mỹ phẩm,Mua sắm
mua đồ điện tử,Mua sắm
mua điện thoại,Mua sắm
mua phụ kiện,Mua sắm
mua đồng hồ,Mua sắm
shopee,Mua sắm
mua sắm online,Mua sắm
lazada,Mua sắm
tiki,Mua sắm
mua đồ chơi,Mua sắm
mua nước hoa,Mua sắm
mua kính mát,Mua sắm
mua balo,Mua sắm
mua đồ trang trí,Mua sắm
mua quà tặng,Mua sắm
mua sạc dự phòng,Mua sắm
mua sắm cuối tuần,Mua sắm
lương tháng,Lương
nhận lương,Lương
lương công ty,Lương
lương part-time,Lương
lương thực tập,Lương
tiền lương,Lương
lương làm thêm,Lương
công ty chuyển lương,Lương
lương cứng,Lương
thưởng lương tháng 13,Lương
lương freelance,Lương
nhận lương part time,Lương
lương dạy thêm,Lương
lương gia sư,Lương
tiền công,Lương
lương đi làm thêm,Lương
nhận lương công ty,Lương
lương chính thức,Lương
tiền lương hàng tháng,Lương
lương thưởng tết,Lương
